Jname,Old name,V* name,TIC,P [d],A,K1,G,Plx,SED+,Spec,Teff,log g,Notes,Ref,Teff_1,R_1,Teff_2,R_2
J18330+4637,,,122889490,0.0707,0.05,N,15.75,1.35,,,,,1 g-mode,New from TESS!,,,,
J10202â€“0853,PG 1017-086,XY Sex,36736263,0.073,0.038,51,14.39,0.9,No,,30300,5.61,,Maxted et al. 2002,40000,0.18,,
J23065+4418,FBS 2304+440,,173295499,0.0879,0.17,N,14.31,1.5,,,,,,New from TESS!,,,,
J03289+5035,Lan 30,,458785169,0.1102,0.07,64,14.18,1.66,,,28500,5.5,,Verbeek et al. 2012,,,,
J05101+3006,,,367014246,0.1145,0.252,N,15.76,0.88,,LR5,,,,New from TESS!,,,,
J20352+2206,,,314296949,0.1314,0.12,N,14.24,1.22,,,,,,New from TESS!,,,,
J03426â€“5050,EC03412-5059,,206412692,0.1368,,S,15.7,0.92,,,,,,New from TESS!,,,,
J18431+4259,KIC 7335517,,123199358,0.1373,0.03,26.4,15.59,0.41,No,"INT, NOT",44400,5.39,,"Ã˜stensen et al. 2011, Telting et al. 2011",70000,0.17,,
J21004+5939,,,421562058,0.1377,0.005,N,16.36,0.79,,,,,,New from TESS!,,,,
J09348â€“2512,TYC 6605-1962-1,,189585096,0.1429,0.01,EQ,13.07,1.1,,,34440,5.17,,New from TESS!,,,,
J07196-2153,TYC 5977-517-1,,5051080,0.1439,0.116,EQ,12.16,2.92,No,NTT,31700,5.73,,New from TESS!,25000,0.22,,
J00025+4253,CRTSJ000231.3+425310,,58105597,0.1558,0.055,N,14.34,0.85,,LR3,,,,New from TESS!,,,,
J04582+3035,,,96951246,0.1591,0.063,N,15.72,0.91,,,,,,New from TESS!,,,,
J06300â€“7153,,,167250176,0.1596,0.14,S,14.26,"1,02",,,,,Cont. viewing zone,New from TESS!,,,,
J05548+7745,,,138025887,0.1692,0.036,N,15.82,0.76,,,,,,New from TESS!,,,,
J23357+3944,HS 2333+3927,,333419799,0.1718,0.27,89.6,14.59,0.79,No,,36500,5.7,,Heber et al. 2004,30000,0.23,,
