#name       P[d]    	M2	    M2_e	Mwd		
IKPeg		21.722		1.7		0.1		1.19+-0.05
KOI-3278	88.18052	1.042	0.1		0.634+-0.047
V471Tau 	0.84     	0.5208	-		0.93   
TYC6760		0.498688 	1.23	-		0.6         
SLB1		683.27   	1.106	-		0.53   
SLB2		727.98   	1.096	-		0.62   
SLB3		418.72   	1.562	-		0.62  
KIC8145		455.870		1.118 	-		0.197
*TYC4700	2.4667		1.454	0.171	0.38-0.44
*TYC1380	1.6127		1.181 	0.145	0.64-0.85
*TYC4962	1.2798 		0.969	0.058	0.59-0.77
*TYC110     0.858       0.842   0.102   0.519-0.648
*TYC3858    1.6422      0.610   0.004   0.218-0.681



