#name       P[d]    M2	    M2_e	Mwd		Mwd_e
WD0137-3457	0.08	0.053	0.006	0.390	0.035
GD448		0.103	0.096	0.040	0.410	0.010
NNSer		0.13	0.111	0.004	0.535	0.012
LTT560		0.148	0.190	0.050	0.520	0.120
MSPeg		0.174	0.220	0.020	0.480	0.020
LMCom		0.259	0.280	0.050	0.450	0.050
CCCet		0.284	0.180	0.050	0.390	0.100
CSS080502	0.149	0.320	0.000	0.350	0.040
RRCae		0.303	0.182	0.013	0.440	0.022
BPM6502		0.337	0.170	0.010	0.500	0.050
GKVir		0.344	0.100	0.000	0.510	0.040
EC14329−16	0.35	0.380	0.070	0.620	0.110
EC12477−17	0.362	0.380	0.070	0.610	0.080
DECVn		0.364	0.410	0.060	0.530	0.040
EC13349−32	0.47	0.500	0.050	0.460	0.110
RXJ2130.6+4	0.521	0.555	0.023	0.554	0.017
HZ9			0.564	0.280	0.040	0.510	0.100
UXCVn		0.57	0.420	0.000	0.390	0.050
UZSex		0.597	0.220	0.050	0.650	0.230
EGUMa		0.668	0.420	0.040	0.640	0.030
REJ2013+40	0.706	0.180	0.040	0.560	0.030
REJ1016−05	0.789	0.150	0.020	0.600	0.020
INCMa		1.26	0.430	0.030	0.570	0.030
Feige24		4.232	0.390	0.020	0.570	0.030
