name,period,M2,M2_e,Mwd,Mwd_e,period_e,source
WD0137-3457,0.08,0.053,0.006,0.39,0.035,0.004,lit
GD448,0.10300000000000001,0.096,0.04,0.41,0.01,0.00515,lit
NNSer,0.13,0.111,0.004,0.535,0.012,0.006500000000000001,lit
LTT560,0.14800000000000002,0.19,0.05,0.52,0.12,0.007400000000000001,lit
MSPeg,0.174,0.22,0.02,0.48,0.02,0.0087,lit
LMCom,0.259,0.28,0.05,0.45,0.05,0.01295,lit
CCCet,0.284,0.18,0.05,0.39,0.1,0.014199999999999999,lit
CSS080502,0.149,0.32,0.0,0.35,0.04,0.00745,lit
RRCae,0.303,0.182,0.013000000000000001,0.44,0.022000000000000002,0.01515,lit
BPM6502,0.337,0.17,0.01,0.5,0.05,0.01685,lit
GKVir,0.344,0.1,0.0,0.51,0.04,0.0172,lit
EC14329−16,0.35,0.38,0.07,0.62,0.11,0.017499999999999998,lit
EC12477−17,0.36200000000000004,0.38,0.07,0.61,0.08,0.0181,lit
DECVn,0.364,0.41,0.06,0.53,0.04,0.0182,lit
EC13349−32,0.47,0.5,0.05,0.46,0.11,0.0235,lit
RXJ2130.6+4,0.521,0.555,0.023,0.5539999999999999,0.017,0.02605,lit
HZ9,0.564,0.28,0.04,0.51,0.1,0.028199999999999996,lit
UXCVn,0.57,0.42,0.0,0.39,0.05,0.028499999999999998,lit
UZSex,0.597,0.22,0.05,0.65,0.23,0.029849999999999998,lit
EGUMa,0.6679999999999999,0.42,0.04,0.64,0.03,0.0334,lit
REJ2013+40,0.706,0.18,0.04,0.56,0.03,0.0353,lit
REJ1016−05,0.789,0.15,0.02,0.6,0.02,0.03945,lit
INCMa,1.26,0.43,0.03,0.57,0.03,0.063,lit
Feige24,4.232,0.39,0.02,0.57,0.03,0.2116,lit
SDSSJ013851.54-001621.6,0.07277205299999999,0.255,0.124,,,0.0030321688749999996,sdss
SDSSJ161113.13+464044.2,0.08236583333333333,0.255,0.124,0.63,0.055999999999999994,0.003431909722222222,sdss
SDSSJ015225.38-005808.5,0.08966444999999999,0.196,0.085,0.72,0.059000000000000004,0.00373601875,sdss
SDSSJ122339.61-005631.1,0.090078,0.225,0.043,0.42,0.043,0.00375325,sdss
SDSSJ211205.31+101427.9,0.0923,0.196,0.085,1.06,0.051,0.003845833333333333,sdss
SDSSJ005245.11-005337.2,0.11395833333333333,0.319,0.09,1.26,0.365,0.004748263888888889,sdss
SDSSJ224307.59+312239.1,0.11959583333333333,0.255,0.124,,,0.004983159722222222,sdss
SDSSJ121010.13+334722.9,0.124489764,0.255,0.124,,,0.0051870735,sdss
SDSSJ105756.93+130703.5,0.125162115,0.255,0.124,0.34,0.07200000000000001,0.005215088125,sdss
SDSSJ143547.87+373338.5,0.125631,0.255,0.124,0.4,0.038,0.005234625,sdss
