#ID		IAU_NAME				porb[h]			porb_e[h]	M2		M2_e	Mwd		Mwd_e
 117	SDSSJ013851.54-001621.6	1.746529272		1E-09		0.255	0.124	-	-
1296	SDSSJ161113.13+464044.2	1.97678			0.00048		0.255	0.124	0.630	0.056
 127	SDSSJ015225.38-005808.5	2.1519468		9.9E-06		0.196	0.085	0.720	0.059
 952	SDSSJ122339.61-005631.1	2.161872		3E-07		0.225	0.043	0.420	0.043
1450	SDSSJ211205.31+101427.9	2.2152			0.0001		0.196	0.085	1.060	0.051
  64	SDSSJ005245.11-005337.2	2.735			0.002		0.319	0.090	1.260	0.365
2237	SDSSJ224307.59+312239.1	2.8703			0.0059		0.255	0.124	-	-
 929	SDSSJ121010.13+334722.9	2.987754336		2.4E-08		0.255	0.124	-	-
 803	SDSSJ105756.93+130703.5	3.00389076		5E-09		0.255	0.124	0.340	0.072
1139	SDSSJ143547.87+373338.5	3.015144		2E-06		0.255	0.124	0.400	0.038
 217	SDSSJ030308.35+005444.1	3.226505		1E-06		0.287	0.107	-	-
2107	SDSSJ102102.25+174439.9	3.368617752		2E-09		0.319	0.090	1.060	0.087
 235	SDSSJ032038.72-063822.9	3.3751			0.0018		0.255	0.124	0.790	0.158
 908	SDSSJ115156.94-000725.4	3.399			0.003		0.196	0.085	0.600	0.095
1456	SDSSJ212320.74+002455.5	3.5835			0.0074		0.196	0.085	0.310	0.066
2083	SDSSJ085336.03+072033.5	3.6091			0.0025		0.380	0.072	-	-
1218	SDSSJ152933.25+002031.2	3.962			0.003		0.255	0.124	0.385	0.032
1112	SDSSJ141134.70+102839.7	4.0202376		2E-08		0.380	0.072	0.540	0.079
1251	SDSSJ154846.00+405728.8	4.45242576		4E-07		0.196	0.085	0.600	0.127
1843	SDSSJ140847.14+295044.9	4.60296648		6E-09		0.255	0.124	0.490	0.043
1490	SDSSJ221616.59+010205.6	5.0487			0.0051		0.255	0.124	0.410	0.143
 182	SDSSJ023804.39-000545.7	5.0801			0.0048		0.380	0.072	0.480	0.146
1802	SDSSJ130733.49+215636.7	5.1917311728	2E-10		0.319	0.090	-	-
1930	SDSSJ162552.91+640024.9	5.237716		5.4E-05		0.196	0.085	0.790	0.096
1664	SDSSJ074548.63+263123.4	5.263318816		2E-10		0.431	0.100	-	-
1462	SDSSJ213218.11+003158.8	5.3336			0.0026		0.319	0.090	0.390	0.029
2227	SDSSJ184412.58+412029.4	5.4166			0.001		0.196	0.085	0.340	0.021
2114	SDSSJ102857.78+093129.8	5.640618288		2E-09		0.406	0.086	0.830	0.022
 964	SDSSJ123139.80-031000.3	5.8493			0.0094		0.319	0.090	0.350	0.068
2182	SDSSJ134841.61+183410.5	5.962			0.001		0.319	0.090	0.590	0.017
 641	SDSSJ094634.49+203003.4	6.068669268		1E-09		0.255	0.124	0.620	0.098
1512	SDSSJ224038.37-093541.4	6.2541			0.0027		0.255	0.124	0.410	0.049
 229	SDSSJ031404.98-011136.6	6.32			0.02		0.319	0.090	-	-
1405	SDSSJ173101.49+623315.9	6.4326			0.0059		0.319	0.090	0.410	0.054
 691	SDSSJ100609.18+004417.0	6.7313			0.0072		0.118	0.004	0.865	0.112
1298	SDSSJ161145.88+010327.8	7.2922			0.0056		0.196	0.085	0.490	0.096
 447	SDSSJ083354.84+070240.1	7.344			0.021		0.319	0.090	0.540	0.070
2171	SDSSJ130012.49+190857.4	7.391			0.013		0.319	0.090	1.090	0.103
  81	SDSSJ011009.09+132616.1	7.984495		3E-06		0.319	0.090	0.430	0.015
1396	SDSSJ172406.14+562003.0	7.992463		3E-06		0.361	0.072	0.443	0.011
 936	SDSSJ121258.25-012310.2	8.060894		1.2E-05		0.319	0.090	0.390	0.013
2122	SDSSJ110517.60+385125.7	8.274			0.011		0.380	0.072	0.710	0.038
 786	SDSSJ104738.24+052320.3	9.17			0.02		0.255	0.124	0.380	0.179
 888	SDSSJ114312.57+000926.5	9.273			0.03		0.319	0.090	0.523	0.065
 652	SDSSJ094913.37+032254.5	9.491			0.015		0.319	0.090	0.510	0.079
2174	SDSSJ131632.04-003758.0	9.66			0.2			0.380	0.072	-	-
1451	SDSSJ211428.41-010357.2	9.855			0.014		0.380	0.072	0.700	0.073
1207	SDSSJ152359.22+460448.9	9.9317			0.0051		0.149	0.075	0.780	0.064
1288	SDSSJ160821.47+085149.9	9.936			0.025		0.196	0.085	0.980	0.083
2023	SDSSJ030716.44+384822.8	10.3266			0.0023		0.380	0.072	-	-
1454	SDSSJ212051.92-005827.3	10.7754			0.0026		0.319	0.090	0.640	0.038
 369	SDSSJ080736.96+072412.0	11.45451		0.00017		0.380	0.072	0.610	0.096
1473	SDSSJ215614.57-000237.4	12.07015		0.00025		0.196	0.085	-	-
 411	SDSSJ082145.27+455923.4	12.2181648		1.6E-06		0.431	0.100	0.660	0.050
2021	SDSSJ030138.24+050218.9	12.93874		0.00047		0.319	0.090	0.875	0.064
2196	SDSSJ142951.19+575949.0	13.08486		0.00022		0.380	0.072	1.070	0.131
2244	SDSSJ231105.66+220208.6	13.9224			0.0017		0.380	0.072	-	-
1209	SDSSJ152425.21+504009.7	14.151167		3.6E-05		0.319	0.090	0.705	0.032
1574	SDSSJ233928.35-002040.0	15.74			0.02		0.319	0.090	0.830	0.304
2216	SDSSJ155808.49+264225.7	15.9016			0.0056		0.319	0.090	0.955	0.236
1389	SDSSJ171810.15+610114.0	16.155			0.044		0.319	0.090	0.530	0.060
 189	SDSSJ024642.55+004137.2	17.43			0.04		0.380	0.072	0.950	0.099
1115	SDSSJ141451.73-013242.7	17.48			0.07		0.255	0.124	0.780	0.139
1372	SDSSJ170509.65+210904.4	19.567			0.061		0.255	0.124	0.520	0.035
1147	SDSSJ143746.69+573706.0	20.13369		0.00038		0.319	0.090	0.815	0.279
2202	SDSSJ143642.01+574146.3	20.73784		0.00071		0.380	0.072	-	-
 170	SDSSJ022503.02+005456.2	21.86			0.16		0.294	0.090	-	-
1031	SDSSJ131334.74+023750.7	22.31916		0.00045		0.319	0.090	0.705	0.081
1427	SDSSJ204541.90-050925.7	23.53152		0.00084		0.380	0.072	0.490	0.073
1184	SDSSJ150657.58-012021.7	25.22355		0.00039		0.319	0.090	0.450	0.091
1196	SDSSJ151921.72+353625.8	32.81			0.32		0.196	0.085	0.570	0.028
1217	SDSSJ152821.45+344314.9	33.87			0.23		0.319	0.090	0.560	0.073
1152	SDSSJ143947.62-010606.7	36.5426			0.0014		0.472	0.078	0.810	0.065
1356	SDSSJ164615.60+422349.2	38.29			0.21		0.255	0.124	0.530	0.058
 668	SDSSJ095737.59+300136.5	46.2270672		3E-07		0.380	0.072	0.420	0.055
 220	SDSSJ030544.41-074941.2	48.4612			0.0017		0.319	0.090	0.520	0.049
2218	SDSSJ162354.45+630640.4	53.5624			0.0034		0.319	0.090	1.000	0.089
 595	SDSSJ092741.73+332959.1	55.3973208		1.6E-06		0.380	0.072	0.590	0.045
