name,period,A,K1,Teff,logg
J18330+4637,0.0707,0.05,,,
J10202-0853,0.073,0.038,51.0,30300.0,5.61
J23065+4418,0.0879,0.17,,,
J03289+5035,0.1102,0.07,64.0,28500.0,5.5
J05101+3006,0.1145,0.252,,,
J20352+2206,0.1314,0.12,,,
J03426-5050,0.1368,,,,
J18431+4259,0.1373,0.03,26.4,44400.0,5.39
J21004+5939,0.1377,0.005,,,
J09348-2512,0.1429,0.01,,34440.0,5.17
J07196-2153,0.1439,0.11599999999999999,,31700.0,5.73
J00025+4253,0.1558,0.055,,,
J04582+3035,0.1591,0.063,,,
J06300-7153,0.1596,0.14,,,
J05548+7745,0.1692,0.036000000000000004,,,
J23357+3944,0.1718,0.27,89.6,36500.0,5.7
J10180+7513,0.1949,0.16,,,
J15294+7011,0.1996,0.09,,27050.0,5.36
J23105+6500,0.2038,0.027999999999999997,,,
J19356-7648,0.209,0.02,,,
J20170+5342,0.2128,0.003,,,
J03563-1509,0.2169,0.025,14.9,39300.0,5.6
J07489+3042,0.2303,0.034,,,
J00516-3042,0.2428,0.05,,30200.0,5.6
J13318+1541,0.2497,0.023,40.2,29100.0,5.62
J06206-5705,0.2503,0.07200000000000001,,31900.0,5.55
J01203+3950,0.252,0.034,37.3,29400.0,5.48
J02002-1728,0.2581,0.127,,,
J23097-4745,0.2641,0.034,,,
J03216+4727,0.2658,0.057,59.8,28000.0,5.34
J05479-6423,0.2772,0.013999999999999999,23.8,27500.0,5.6
J20031+2405,0.2807,0.008,,,
J00336+4940,0.2809,0.051,,,
J00344+7333,0.292,0.153,,,
J19261+3720,0.2923,0.022000000000000002,22.8,29700.0,5.7
J09438+7831,0.3004,0.028999999999999998,,28000.0,5.66
J20463+0626,0.3015,,72.7,26200.0,5.28
J05069-3829,0.3073,0.017,,,
J22173+5052,0.3078,0.005,,29600.0,5.64
J23194-0852,0.3129,0.006,13.3,,
J14408-0308,0.3358,,32.1,27700.0,5.5
J18427+6956,0.3367,0.15,,39000.0,5.6
J22058-3141,0.3415,0.052000000000000005,47.8,28650.0,5.68
J05538+3256,0.3531,0.07400000000000001,,,
J22043+4355,0.3634,0.013000000000000001,,,
J19023+4850,0.3945,,,,
J04449+1421,0.39799999999999996,0.079,85.9,35100.0,5.66
J19212+3725,0.3985,,,,
J21419-2916,0.4205,0.042,,,
J01322-4933,0.4238,0.16,,,
J19272+3808,0.4431,,,,
J19468+3959,0.4511,0.2,,,
J02329-4310,0.4515,0.044000000000000004,62.4,31100.0,5.6
J23497+3844,0.4625,,87.9,23800.0,5.38
J21382+7211,0.46799999999999997,0.026000000000000002,,25280.0,5.23
J20228-6525,0.5988,0.04,59.7,,
J21360-7248,0.7338,0.018000000000000002,34.6,26500.0,5.22
J23345-0119,0.8008,0.011000000000000001,34.9,28800.0,5.65
J19447+5449,0.0642,0.076,,,
J19493-5752,0.069,0.013999999999999999,,,
J16229+4730,0.0698,,47.0,29000.0,5.65
J20466+5147,0.0896,0.022000000000000002,,,
J05181-2308,0.0912,0.01,,,
J01136+2257,0.0934,0.08199999999999999,74.2,,
J07107+6655,0.0956,0.10400000000000001,85.8,28800.0,5.4
J08208+0008,0.0962,0.016,47.9,25800.0,5.52
J13388-0201,0.10099999999999999,,78.6,32800.0,5.76
J20200+0437,0.1104,,73.4,40000.0,5.5
J22343+2456,0.1106,,49.1,28400.0,5.39
J19065+2807,0.1121,0.18,,,
J12443-0840,0.1168,,82.3,28500.0,5.63
J10269-2722,0.1185,0.114,71.6,28900.0,5.64
J19385+4603,0.1258,0.069,65.7,29600.0,5.43
J14019-7513,0.1315,0.16699999999999998,,,
J10233-3736,0.1393,0.12,81.0,28400.0,5.6
J18522-2147,0.1611,0.1,52.3,36500.0,5.46
J15338+3759,0.1618,,71.1,29200.0,5.58
J06404+3856,0.1873,,,,
J21469+6616,0.1935,0.02,,,
J18312+1345,0.1976,0.133,,,
J07534+7224,0.2083,0.151,,30800.0,5.46
J05317-6953,0.2615,0.033,39.2,42000.0,5.46
J08084+3202,0.3697,0.086,,,
J02413-6855,0.4607,0.033,,,
J20358-4637,0.4632,0.028999999999999998,,,
